date,value_weighted_return
1971-06-30,0.003119
1971-07-30,-0.040283
1971-08-31,0.042511
1971-09-30,-0.005016
1971-10-29,-0.040683
1971-11-30,-0.001262
1971-12-31,0.091257
1972-01-31,0.028382
1972-02-29,0.031349
1972-03-30,0.008723
1972-04-28,0.005505
1972-05-31,0.016376
1972-06-30,-0.020897
1972-07-31,-0.004254
1972-08-31,0.035966
1972-09-29,-0.00767
1972-10-31,0.008676
1972-11-30,0.049764
1972-12-29,0.011243
1973-01-31,-0.027454
1973-02-28,-0.04437
1973-03-30,-0.007857
1973-04-30,-0.051769
1973-05-31,-0.024508
1973-06-29,-0.008648
1973-07-31,0.056961
1973-08-31,-0.029657
1973-09-28,0.053931
1973-10-31,-0.000415
1973-11-30,-0.120713
1973-12-31,0.011437
1974-01-31,0.004412
1974-02-28,0.002345
1974-03-29,-0.023364
1974-04-30,-0.045961
1974-05-31,-0.041982
1974-06-28,-0.022943
1974-07-31,-0.070875
1974-08-30,-0.087757
1974-09-30,-0.109719
1974-10-31,0.165585
1974-11-29,-0.041046
1974-12-31,-0.027006
1975-01-31,0.141599
1975-02-28,0.058412
1975-03-31,0.030191
1975-04-30,0.046497
1975-05-30,0.05514
1975-06-30,0.051473
1975-07-31,-0.060385
1975-08-29,-0.023558
1975-09-30,-0.03801
1975-10-31,0.055857
1975-11-28,0.031222
1975-12-31,-0.010998
1976-01-30,0.126012
1976-02-27,0.00731
1976-03-31,0.02674
1976-04-30,-0.010402
1976-05-28,-0.009326
1976-06-30,0.044521
1976-07-30,-0.006136
1976-08-31,-0.001398
1976-09-30,0.024513
1976-10-29,-0.020372
1976-11-30,0.005363
1976-12-31,0.061591
1977-01-31,-0.036326
1977-02-28,-0.015744
1977-03-31,-0.009249
1977-04-29,0.004962
1977-05-31,-0.010777
1977-06-30,0.051369
1977-07-29,-0.012806
1977-08-31,-0.013338
1977-09-30,0.001572
1977-10-31,-0.039278
1977-11-30,0.04544
1977-12-30,0.008223
1978-01-31,-0.055199
